Revision;NumberOfLOC;NumberOfNonEmptyLOC;TotalNumberOfReferences;WholeProcessExecutionTime;ParsingAndIndexingOnlyExecutionTime;ExtractingTransformationsExecutionTime;MergeProcessOnlyExecutionTime
rev_01a273d9_069df1b6;71427;63835;15669;38766;26376;11638;624
rev_0bdadf12_90340f6f;9777;8784;1649;2159;1277;876;4
rev_0c420536_c4ad40f8;38740;34704;8101;11622;6982;4414;224
rev_10592530_b29d41c2;22052;19859;4689;4901;2363;2188;273
rev_1d1b09b7_9c82017a;9520;8568;1605;2453;1445;995;0
rev_33db4912_adeb90dc;47874;43010;10134;12514;5745;6739;28
rev_39922fb7_b6a573c3;25313;22785;5183;5660;3182;2394;79
rev_3d948205_6696ca34;20172;18174;4378;4242;2002;2061;132
rev_61bea9e7_f46d9ada;9899;8891;1687;1420;819;574;0
rev_7845f58d_09633833;9887;8879;1691;1754;995;758;0
rev_790c3d26_4b07c5d1;18836;16965;4139;3733;1922;1743;33
rev_898654ea_746b7a1a;38541;34528;8095;8143;3992;4145;0
rev_98d6a33d_05499e1f;19366;17450;4255;4149;2442;1652;54
rev_b274a7fa_88560741;32915;29597;6484;6565;3587;2941;37
rev_c246509c_caad7624;9350;8378;1647;1273;665;576;0
rev_cc404ced_578abb59;35692;32051;7007;7186;3545;3585;0
rev_d2656750_6255d179;10366;9306;1923;1906;919;936;50
rev_de91a2eb_3a55c5e7;11932;10759;2485;2193;952;1056;96
rev_e96b6e47_728122be;8673;7830;1415;1493;716;768;6
